# id_tile ra dec pos isky texp texp_ob tob_len irank ntile
     -193   237.8169  -26.9878   159.10  3  12.02 38.96  47.06  2  3 
     -192   237.8169  -26.9878   159.10  3   7.53 38.96  47.06  3  3 
     -194   116.5389  -64.4362   185.44  3   7.05  7.05  10.08  1  1 
     -195   175.0155  -48.2158   172.66  3   7.19  7.19  10.22  1  1 
     -196   323.8059  -32.1058   181.30  2  17.93 33.01  38.57  1  2 
    -4271   323.8059  -32.1058   181.30  2  15.07 33.01  38.57  2  2 
     -197   258.1144  -59.4192   199.79  1  20.73 20.73  23.77  1  1 
     -199   351.0987  -32.5763   193.40  1  20.92 20.92  23.95  1  1 
     -201    15.8222  -34.3361   176.13  1  20.84 41.63  47.20  1  2 
   -40657    15.8222  -34.3361   176.13  1  20.79 41.63  47.20  2  2 
     -202    18.3571  -23.2040   359.13  2  15.04 34.09  39.66  1  2 
     -204    18.3571  -23.2040   359.13  2  19.05 34.09  39.66  2  2 
     -203   120.5197  -57.8568   165.23  2  18.87 18.87  21.90  1  1 
     -205   269.0184   -1.8825    10.20  3  20.95 35.06  40.62  1  2 
     -207   269.0184   -1.8825    10.20  3  14.11 35.06  40.62  2  2 
     -206   166.7474  -13.9225   353.16  2  15.02 33.71  39.27  1  2 
   -33485   166.7474  -13.9225   353.16  2  18.69 33.71  39.27  2  2 
     -208   333.5189  -27.8541   189.97  1  20.65 20.65  23.68  1  1 
     -209   190.3357    1.8443    25.63  3   9.06 37.21  45.31  1  3 
     -210   190.3357    1.8443    25.63  3  20.85 37.21  45.31  2  3 
     -213   190.3357    1.8443    25.63  3   7.29 37.21  45.31  3  3 
     -212   115.7187  -27.9508   182.90  2  19.24 19.24  22.28  1  1 
     -214   169.8274  -35.3325   176.44  4   4.00 14.25  22.35  1  3 
    -7366   169.8274  -35.3325   176.44  4   5.50 14.25  22.35  2  3 
     -218   169.8274  -35.3325   176.44  4   4.75 14.25  22.35  3  3 
     -215   159.2172  -62.5209   181.86  2  17.22 17.22  20.25  1  1 
     -219   346.4721    0.7507     8.82  3   7.15  7.15  10.18  1  1 
     -221   124.1130  -16.6440   342.75  3  19.79 19.79  22.82  1  1 
     -222   210.2077  -43.0571   169.52  3  13.36 36.29  44.39  1  3 
    -8358   210.2077  -43.0571   169.52  3   7.04 36.29  44.39  2  3 
    -8357   210.2077  -43.0571   169.52  3  15.90 36.29  44.39  3  3 
     -223   256.1498  -58.8844   154.29  4   4.12 12.75  18.32  1  2 
    -7506   256.1498  -58.8844   154.29  4   8.63 12.75  18.32  2  2 
     -224    24.6949  -41.7889   194.74  3   7.23 25.06  33.16  1  3 
    -2802    24.6949  -41.7889   194.74  3   7.37 25.06  33.16  2  3 
    -5578    24.6949  -41.7889   194.74  3  10.45 25.06  33.16  3  3 
     -226    83.9777  -28.8378   208.98  3  11.92 39.21  47.31  1  3 
     -229    83.9777  -28.8378   208.98  3  19.43 39.21  47.31  2  3 
     -230    83.9777  -28.8378   208.98  3   7.86 39.21  47.31  3  3 
     -227    54.0182   -0.0133    29.56  1  20.11 20.11  23.15  1  1 
     -228   252.9707  -34.3889   177.26  1  20.95 20.95  23.98  1  1 
     -231   243.7901   -1.6082   349.78  3   7.18 26.02  31.59  1  2 
     -235   243.7901   -1.6082   349.78  3  18.84 26.02  31.59  2  2 
     -232    74.2585  -33.0819   190.22  3   8.33  8.33  11.36  1  1 
     -233   191.8448   -0.8830    10.07  2  17.55 37.45  43.02  1  2 
   -28306   191.8448   -0.8830    10.07  2  19.90 37.45  43.02  2  2 
     -234    11.2796  -34.4618   156.52  1  20.60 41.59  47.16  1  2 
   -38238    11.2796  -34.4618   156.52  1  21.00 41.59  47.16  2  2 
     -236    35.9044   -4.9340    29.76  1  20.72 41.61  47.17  1  2 
   -32299    35.9044   -4.9340    29.76  1  20.88 41.61  47.17  2  2 
     -237   333.4984  -30.1284   195.14  2  20.92 20.92  23.95  1  1 
     -238   223.8043   -3.0227    29.80  1  20.98 20.98  24.01  1  1 
     -240    99.7485  -14.6504    12.48  3   8.24 15.39  20.95  1  2 
   -25927    99.7485  -14.6504    12.48  3   7.15 15.39  20.95  2  2 
     -241   271.6919  -51.1472   169.14  3   9.26 27.92  33.49  1  2 
   -21036   271.6919  -51.1472   169.14  3  18.66 27.92  33.49  2  2 
     -242    80.5541  -69.7059   187.34  1  20.92 61.91  70.01  1  3 
